ID,Label,Waterway,Drainage_Type,Site,Aspect,Site_type,Direction,Source,Landscape_feature,Slope_in_Degrees,Rock_Formation,Elevation,Long,Lat,Distance
61,Bhil,bhatwarigad,Intermittent,Bhil,South,Fortalice,North,23,Ridge,15,Berinag,2180,78.778858,30.350425,921
62,Maal,Badiyar Gad,Perennial,Maal,South East,Fortalice,North,135,Isolated hill,30,Berinag,1233,78.858428,30.278192,716
63,Raj_3,N/A,Intermittent,Raj_3,West,Fortalice,East,163,Isolated hill,15,Berinag,2726,78.834858,30.357294,800
64,Thati,N/A,Intermittent,Thati,North East,Fortalice,East,186,Ridge,30,Berinag,2042,78.784739,30.388311,341
65,Bhuwna,Dili Gad,Seasonal,Bhuwna,North,Fortalice,East,27,Ridge,30,Berinag,748,78.914536,30.254158,321
66,Bhardar,Shilaun Gad,Seasonal,Bhardar,South West,Fortalice,East,21,Saddle,25,Berinag,1287,78.926964,30.348508,683
67,Ghandiyal_2,Bar gad,Seasonal,Ghandiyal_2,South East,Fortalice,West,81,Ridge,15,Berinag,1574,78.960753,30.252211,510
68,Gwari,Ghandiyal Gad,Perennial,Gwari,North,Fortalice,South,89,Saddle,25,Nagthat,1543,78.985258,30.170431,41
69,Lwe,Bacchan Gad,Seasonal,Lwe,South West,Fortalice,East,134,Other,25,Berinag,1041,78.930044,30.219147,324
70,Nawasu,Kalu Gad,Seasonal,Nawasu,North west,Fort,West,153,Saddle,15,Chandpur,1627,78.915978,30.204739,615
71,Nayan,Choya Gad,Seasonal,Nayan,North East,Fortalice,East,155,Ridge,30,Nagthat,1903,78.925097,30.146864,1916
72,Garhidhar,Alaknanda River,Perennial,Garhidhar,South West,Fortalice,East,72,Ridge,25,Chandpur,714,78.677772,30.212211,378
73,Godi,Alaknanda River,Perennial,Godi,South West,Fortalice,South-west,82,Other,15,Chandpur,712,78.696606,30.226578,620
74,ChilGarhi,Chilgarh Gad,Seasonal,ChilGarhi,East,Fortalice,North,46,Isolated hill,15,Chandpur,894,78.700658,30.2172,48
