x,y,area,mounded,volume,moud_vol,elev
592175.4,4113415.2,77375,8650,19306.5,16534.5,1.91
592224.55,4109765.1,36575,7875,34990,17796.5,2.26
592237.5,4064233.1,54875,4925,,10612.75,2.15
592249.32,4061625,78450,5800,,11152.5,1.92
592264.95,4106868.3,22825,,, , 
592272.28,4111987.8,72725,8600,42062.5,23843.25,2.77
592281.27,4077872.4,93800,18350,109147.5,64332.5,3.51
592301.71,4069393.4,75000,,, , 
592326.02,4066036.4,15000,,, , 
592343.1,4059482.4,25600,4125,39527.5,13965.75,3.39
592393.83,4108026.7,154275,35250,191582.5,104422.5,2.95
592414.95,4073008.3,36200,,3132.5, , 
592454,4070457.4,37350,6000,29765,17176.75,2.86
592494.95,4106418.3,95925,,, , 
592525.79,4073281.1,239850,118500,770450,678150,5.72
592536.39,4106498.6,73350,3350,61165,8457.5,2.52
592554.78,4078616,194100,21350,2708.25,66460,3.11
592588.77,4082034.4,136575,25500,465150,523950,20.4
592618.1,4095443.1,298200,6200,165895,51967.5,8.38
592619,4119444.1,61675,,5057, , 
592626.45,4063891.9,26400,,, , 
592653.42,4069610.3,29525,,, , 
592666.42,4062272.1,98850,7075,1680.45,11283.5,1.59
592678.09,4059986.7,52200,1450,4245.5,3482.5,2.4
592731.67,4076015.8,374725,98000,944100,561550,5.73
592791.79,4110794.2,123025,38500,105367.5,109102.5,2.84
592807.59,4060421.2,23325,,, , 
592828.45,4060703.8,17975,,, , 
592866.14,4116074.5,389700,2800,530475,57612.5,20.6
592914.95,4105678.3,8025,,, , 
592936.02,4104970.2,45125,525,13294.25,1330.85,2.53
592952.83,4050745.9,303050,29000,64325,94992.5,3.28
593006.79,4061890.4,120500,4600,,9724.25,2.11
593021.57,4059956.8,86425,15750,150782.5,66135,4.2
593030.18,4067729.9,23225,,, , 
593046.83,4103536.8,96225,22975,70457.5,62877.5,2.74
593048.37,4068138.8,64400,,, , 
593059.2,4070906.2,31100,,, , 
593092.68,4073066.3,17675,1850,9753,3740.25,2.02
593159.49,4116859.9,579700,100,,1457.825,14.6
593197.82,4067846.1,70175,10225,46025,22559.25,2.21
593227.96,4071819.1,119200,775,,1289.15,1.66
593255.43,4022740.4,168250,78000,750050,566975,7.26
593265.83,4109574,68700,17525,53475,38225,2.18
593266.53,4055954.1,156425,4400,194717.5,17567,3.99
593278.99,4061164.4,68375,,, , 
593304.95,4062638.3,8025,,1325.425, , 
593309.38,4074641.1,204075,8975,86882.5,18114.25,2.02
593315.28,4051393.3,244525,21275,79232.5,64002.5,3.01
593332.21,4106067.8,93525,,17559.5, , 
